Optimizer,Learning Rate,Momentum,Val PR-AUC,Val ROC-AUC,Val F1-Score,Val Precision,Val Recall,Training Time (s),Epochs,Is Best
SGD,0.01,0.0,0.8599,0.9908,0.8551,0.8806,0.831,44.1,80,True
SGD,0.001,0.5,0.8549,0.9904,0.8551,0.8806,0.831,112.9,200,False
SGD,0.001,0.9,0.8523,0.9901,0.8551,0.8806,0.831,45.6,80,False
SGD,0.01,0.5,0.8504,0.9902,0.8406,0.8657,0.8169,26.4,46,False
SGD,0.1,0.0,0.8462,0.9845,0.8451,0.8451,0.8451,15.8,27,False
SGD,0.0001,0.9,0.8434,0.9858,0.8489,0.8676,0.831,111.0,200,False
SGD,0.01,0.9,0.8419,0.9775,0.8444,0.8906,0.8028,20.5,36,False
SGD,0.1,0.5,0.8388,0.985,0.8,0.7595,0.8451,11.7,20,False
SGD,0.001,0.0,0.8385,0.9864,0.8489,0.8676,0.831,112.0,200,False
SGD,0.01,0.99,0.8372,0.9789,0.7972,0.7917,0.8028,15.9,27,False
SGD,0.0001,0.99,0.8354,0.9909,0.8467,0.8788,0.8169,45.5,82,False
SGD,0.001,0.99,0.826,0.9751,0.8406,0.8657,0.8169,15.6,28,False
SGD,0.0001,0.5,0.7456,0.9323,0.7852,0.8281,0.7465,113.8,200,False
SGD,0.0001,0.0,0.7031,0.9056,0.7761,0.8254,0.7324,120.1,200,False
SGD,0.1,0.9,0.6816,0.985,0.7682,0.725,0.8169,11.4,20,False
SGD,0.1,0.99,0.0019,0.5,0.0,0.0,0.0,11.1,19,False
