SMOTE Ratio,Optimizer,PR-AUC,ROC-AUC,F1-Score,Precision,Recall,Accuracy,TP,FP,FN,TN,Epochs,Time (s)
No SMOTE,SGD,0.8086,0.9558,0.8154,0.8833,0.7571,0.9994,53,7,17,42480,80,63.9
No SMOTE,ADAM,0.798,0.9655,0.797,0.8413,0.7571,0.9994,53,10,17,42477,25,25.6
No SMOTE,ADABELIEF,0.8083,0.9624,0.8029,0.8209,0.7857,0.9994,55,12,15,42475,27,30.4
SMOTE 0.1,SGD,0.7767,0.9544,0.7681,0.7794,0.7571,0.9992,53,15,17,42472,59,51.4
SMOTE 0.1,ADAM,0.7743,0.9615,0.7606,0.75,0.7714,0.9992,54,18,16,42469,24,27.2
SMOTE 0.1,ADABELIEF,0.7707,0.9583,0.7448,0.72,0.7714,0.9991,54,21,16,42466,24,28.8
SMOTE 0.2,SGD,0.7911,0.9522,0.719,0.6627,0.7857,0.999,55,28,15,42459,34,31.8
SMOTE 0.2,ADAM,0.787,0.9592,0.726,0.6974,0.7571,0.9991,53,23,17,42464,21,26.3
SMOTE 0.2,ADABELIEF,0.7886,0.9556,0.7517,0.7089,0.8,0.9991,56,23,14,42464,21,28.2
SMOTE 0.3,SGD,0.7878,0.9486,0.7097,0.6471,0.7857,0.9989,55,30,15,42457,41,41.7
SMOTE 0.3,ADAM,0.7778,0.9586,0.7586,0.7333,0.7857,0.9992,55,20,15,42467,26,34.3
SMOTE 0.3,ADABELIEF,0.7839,0.9568,0.7448,0.72,0.7714,0.9991,54,21,16,42466,26,37.2
SMOTE 0.4,SGD,0.7853,0.9448,0.7534,0.7237,0.7857,0.9992,55,21,15,42466,58,63.1
SMOTE 0.4,ADAM,0.7806,0.9577,0.7383,0.6962,0.7857,0.9991,55,24,15,42463,34,47.5
SMOTE 0.4,ADABELIEF,0.7776,0.9544,0.7143,0.6548,0.7857,0.999,55,29,15,42458,34,53.1
SMOTE 0.5,SGD,0.7883,0.9477,0.7143,0.6548,0.7857,0.999,55,29,15,42458,36,42.8
SMOTE 0.5,ADAM,0.781,0.9551,0.7285,0.679,0.7857,0.999,55,26,15,42461,28,43.0
SMOTE 0.5,ADABELIEF,0.788,0.956,0.7237,0.6707,0.7857,0.999,55,27,15,42460,30,49.1
SMOTE 0.6,SGD,0.7809,0.9477,0.7237,0.6707,0.7857,0.999,55,27,15,42460,56,69.2
SMOTE 0.6,ADAM,0.7914,0.958,0.7534,0.7237,0.7857,0.9992,55,21,15,42466,25,42.3
SMOTE 0.6,ADABELIEF,0.7732,0.956,0.72,0.675,0.7714,0.999,54,26,16,42461,25,45.9
SMOTE 0.7,SGD,0.7795,0.945,0.7333,0.6875,0.7857,0.9991,55,25,15,42462,54,71.6
SMOTE 0.7,ADAM,0.7782,0.9583,0.7534,0.7237,0.7857,0.9992,55,21,15,42466,33,61.9
SMOTE 0.7,ADABELIEF,0.7758,0.9555,0.7448,0.72,0.7714,0.9991,54,21,16,42466,30,53.3
SMOTE 0.8,SGD,0.7868,0.9434,0.7285,0.679,0.7857,0.999,55,26,15,42461,47,65.0
SMOTE 0.8,ADAM,0.7868,0.9568,0.7285,0.679,0.7857,0.999,55,26,15,42461,31,59.0
SMOTE 0.8,ADABELIEF,0.7486,0.9565,0.7413,0.726,0.7571,0.9991,53,20,17,42467,27,55.0
SMOTE 0.9,SGD,0.7834,0.9467,0.6548,0.5612,0.7857,0.9986,55,43,15,42444,58,84.2
SMOTE 0.9,ADAM,0.7965,0.9573,0.7432,0.7051,0.7857,0.9991,55,23,15,42464,26,50.4
SMOTE 0.9,ADABELIEF,0.7645,0.9534,0.6957,0.6154,0.8,0.9988,56,35,14,42452,29,60.0
SMOTE 1.0,SGD,0.7896,0.9454,0.7097,0.6471,0.7857,0.9989,55,30,15,42457,56,84.8
SMOTE 1.0,ADAM,0.7763,0.9559,0.7248,0.6835,0.7714,0.999,54,25,16,42462,25,52.6
SMOTE 1.0,ADABELIEF,0.7663,0.9565,0.6875,0.6111,0.7857,0.9988,55,35,15,42452,25,71.4
